agent,score,win%,wins,draws,losses,games
hydra.py,47,0.893,50,3,3,56
archive/bumble.py,14,0.393,22,26,8,56
archive/bumble2.py,9,0.393,22,21,13,56
public/decision_tree.py,7,0.321,18,27,11,56
archive/meta_fix.py,6,0.304,17,28,11,56
archive/lucker.py,5,0.321,18,25,13,56
public/geometry.py,2,0.304,17,24,15,56
public/rfind.py,1,0.321,18,21,17,56
public/decision_tree_2.py,0,0.232,13,30,13,56
public/memory.py,-3,0.25,14,25,17,56
archive/testing.py,-10,0.232,13,20,23,56
archive/dllu1.py,-13,0.161,9,25,22,56
archive/IO2.py,-19,0.196,11,15,30,56
archive/greenberg.py,-22,0.107,6,22,28,56
archive/iocaine.py,-24,0.071,4,24,28,56